iteration,edge_v0,edge_v1,incidence,kept_face_0,kept_face_1,rejected_faces,kept_visibility_hits,rejected_visibility_hits,pair_abs_normal_dot
0,13101,13116,4,26797,26801,26798;26787,0,0,0.9840281840667584
0,13102,13106,3,26795,26804,26803,0,0,0.9799857981560549
0,13106,13126,3,26812,26805,26811,0,0,0.914357623246881
0,13110,13111,3,26822,26785,26825,0,0,0.9090509039345617
0,13110,13113,3,26820,26747,26822,0,0,0.9998322190157672
0,13110,13119,3,26824,26749,26820,0,0,0.9973181895906155
0,13111,13114,3,26817,26823,26827,0,0,0.4310545216406211
0,13111,13116,4,26826,26787,26819;26829,0,0,0.9954706064995604
0,13113,13121,3,26821,26755,26830,0,0,0.9629147609507613
0,13116,13125,4,26799,26834,26836;26829,0,0,0.9956244912047797
0,13119,13121,3,26756,26838,26821,0,0,0.9960166637907182
0,13121,13122,3,26830,26843,26839,0,0,0.999369320544621
0,13122,13129,3,26833,26845,26841,0,0,0.9970445618120575
0,13125,13126,3,26850,26837,26811,0,0,0.9834448492976147
0,13125,13129,3,26835,26851,26841,0,0,0.9732509246236379
0,13129,13131,3,26858,26856,26845,0,0,0.9235540936973579
0,13131,15291,3,26862,26861,26849,0,0,0.9770950931327368
0,13154,13161,3,26727,26912,26910,0,0,0.6395602613843208
0,13155,13189,3,26877,26914,26916,2,0,0.996319212987985
0,13156,13162,3,26913,26919,26735,0,0,0.9826799713496477
0,13156,13190,3,26918,26733,26917,0,0,0.7755915706022941
0,13161,13162,3,26736,26913,26929,0,0,0.8142810871484395
0,13187,13221,3,26974,26978,26976,0,0,0.9991772975955403
0,13189,13192,3,26949,26915,26983,1,0,0.9922455295360343
0,13190,13193,3,26982,26986,26984,0,0,0.7112090281133112
0,13190,13196,3,26918,26988,26986,0,0,0.9310065311029398
0,13191,13197,3,26989,26993,26990,0,0,0.998526260153019
0,13192,13194,3,26953,26994,26996,0,0,0.9756008075320033
0,13193,13195,3,26998,26997,26985,0,0,0.8262074688193494
0,13194,13211,3,26957,26995,27000,0,0,0.9669672650260152
0,13195,13199,3,26998,27002,26991,0,0,0.9906888218949722
0,13196,13198,3,27004,26931,26987,0,0,0.9977884518080681
0,13197,13199,3,27006,27005,26991,0,0,0.9974828904312415
0,13198,13199,3,27004,27008,26999,0,0,0.9909734541744266
0,13199,13207,3,27006,27011,27003,0,0,0.9988897030037641
0,13204,13208,3,27018,27026,27024,0,0,0.9931515339635494
0,13204,13222,3,27021,27024,27022,0,0,0.72256536925799
0,13205,13206,3,26857,27029,27015,0,0,0.866210517613388
0,13206,15387,3,26860,27030,27017,0,0,0.8677987107416738
0,13207,13208,3,27028,27033,27019,0,0,0.9993313651576818
0,13215,13223,3,27050,27049,27039,0,0,0.8530717454396743
0,13223,13225,3,27062,27061,27053,0,0,0.8510694449189774
0,13225,15403,3,27066,26981,27065,0,0,0.9201191546544977
0,13399,13400,3,27406,27380,27409,0,0,0.9930323021518163
0,13400,13404,3,27407,27383,27410,0,0,0.9987743668404456
0,13404,13406,3,27417,27418,27410,0,0,0.9998641637396901
0,13405,13406,3,27416,27421,27415,1,0,0.9999452642148604
0,14509,14511,3,29710,29705,29713,0,0,0.9999732126179516
0,14509,14513,3,29708,29714,29712,0,0,0.9999746935568045
0,14510,14511,3,29704,29716,29718,1,1,0.9999995852295281
0,14510,14514,3,29549,29707,29719,1,1,0.9999837808120572
0,14512,14513,3,29603,29709,29723,0,0,0.9999848609058692
0,14512,14514,3,29555,29706,29722,1,0,0.9999992913489287
0,14719,14727,3,30069,30073,30076,2,1,0.9998776210253617
0,14719,14738,3,30070,30077,30074,0,0,0.9997614045632246
0,14727,14731,3,30092,30073,30094,3,1,0.9991879446790384
0,14731,14751,3,30095,30103,30100,1,1,0.9998009901433182
0,14738,14742,3,30075,30113,30116,2,1,0.9996698473750731
0,14742,14751,3,30117,30124,30101,1,1,0.9997429047533907
0,14763,14764,3,25507,30175,30172,0,0,0.9593791687095642
0,14763,14765,3,30174,30155,30171,0,0,0.8955758036057778
0,14772,14778,3,30181,30185,25678,0,0,0.9869210168027431
0,14774,14780,3,30190,30184,30192,0,0,0.9985685251395894
0,14775,14778,3,30194,25681,30180,0,0,0.9702839102949498
0,14778,14780,3,30200,30185,30194,0,0,0.9704171868204398
0,14780,14789,3,30196,30205,30193,0,0,0.9534461228389491
0,14780,14796,3,30204,30191,30206,0,0,0.9949645446992755
0,14781,14797,3,30208,30207,30203,0,0,0.9322900219056053
0,14796,14806,3,30204,30239,30240,0,0,0.9962240357333717
0,14797,14807,3,30242,30208,30241,0,0,0.9997294249653919
0,14806,14810,3,30262,30264,30249,0,0,0.051842464107804714
0,14807,14811,3,30266,30268,30265,1,0,0.9963415932535431
0,14809,14813,3,30272,30270,30267,0,0,0.12754788653672783
0,14810,14812,3,30274,30263,30255,0,1,0.273661711739967
0,14811,14813,3,30266,30276,30275,0,0,0.9828308880548718
0,14812,14813,3,30280,30271,30274,0,0,0.96974962034188
0,14824,14825,3,25779,30297,30291,0,0,0.9969171055064737
0,14837,14840,3,30318,30320,30317,0,0,0.8817678266174397
0,14840,14842,3,30319,30327,30325,0,0,0.99351143561912
0,14845,14989,3,30257,30337,30141,0,0,0.9902555111110446
0,14989,14990,4,30618,30620,30337;30542,2,0,0.9317445362207952
0,14989,14991,3,30620,30469,30616,1,1,0.8714911899114987
0,14990,14992,3,30338,30623,30621,0,0,0.9981764472422416
0,14990,14994,3,30622,30624,30619,0,0,0.4883776702447303
0,14991,14995,3,30475,30627,30617,0,0,0.3798602639661012
0,14992,14996,3,30628,30626,30623,0,0,0.9906995306713111
