loop_id,v0,v1,length_mm,local_median_mm,ratio_to_local_median,max_adjacent_normal_jump_deg,first_new_face_index
1846,359452,359456,0.9023956897262422,0.47875232365759474,1.884890464514254,6.334355697921777,873505
1852,360691,360696,0.6318625327748565,0.4690731125866618,1.3470448759906681,8.933370055175406,873509
1858,361450,361453,0.9120221131176666,0.5563379584069457,1.639331092433833,9.498991827827926,873511
1858,361422,361450,0.9275354080797309,0.5563379584069457,1.6672157526976878,9.498991827827926,873511
1858,361422,361453,1.0000878810396052,0.5563379584069457,1.7976265432316034,9.498991827827926,873511
1860,361563,361567,0.9188221730365216,0.570650800612169,1.610130349507702,5.258978611076671,873515
1860,361558,361562,0.9396208616128688,0.570650800612169,1.646577662915543,5.258978611076671,873515
1860,361562,361563,1.0743452515854202,0.570650800612169,1.8826666858837489,5.258978611076671,873515
1862,362362,362366,0.8736071588150963,0.5392857116818369,1.6199338122470033,20.52024342312645,873519
1862,362388,362392,0.8962382722699089,0.5392857116818369,1.6618987910413316,20.52024342312645,873519
1862,362362,362392,1.0879851894364063,0.5392857116818369,2.017455990152927,20.52024342312645,873519
1863,362473,362494,0.7711505710384929,0.5220780667358312,1.4770790427185116,17.5025868650404,873523
1863,362473,362478,0.8956769850080025,0.5220780667358312,1.715599719804376,17.5025868650404,873523
1863,362478,362494,0.9250547357746135,0.5220780667358312,1.7718705203578036,17.5025868650404,873523
1864,363973,366045,0.1266336788619255,0.5079558548216194,0.24930055960551117,49.315154005119766,873527
1867,364819,364869,0.8890756007916506,0.502820221496223,1.768177894966241,5.685787451645671,873529
1867,364819,364834,0.9016816277979083,0.502820221496223,1.7932485394378306,5.685787451645671,873529
1867,364834,364869,0.9205218395001006,0.502820221496223,1.8307176206257951,5.685787451645671,873529
1868,364839,364842,0.8907806861371333,0.488071905141621,1.825101335998147,3.9137622006027484,873533
1868,364842,364852,0.915939981044636,0.488071905141621,1.8766496727134152,3.9137622006027484,873533
1868,364839,364852,0.9416030597503259,0.488071905141621,1.9292302011874793,3.9137622006027484,873533
1871,365559,365561,0.8894562668365267,0.4998951136936143,1.7792857790998022,8.205826886642363,873537
1871,365548,365550,0.8920384596841546,0.4998951136936143,1.784451248369043,8.205826886642363,873537
1871,365550,365559,1.088184126641857,0.4998951136936143,2.176824891528756,8.205826886642363,873537
1872,365684,365889,0.13972043535428733,0.5006926995817108,0.27905426915753456,20.494004424736655,873541
1874,366411,366424,0.8619180400277292,0.5274128920692068,1.6342377158172097,4.584791748163595,873543
1874,366412,366425,0.8873271555938332,0.5274128920692068,1.682414610899194,4.584791748163595,873543
1874,366412,366424,0.9873511462313777,0.5274128920692068,1.8720648681106147,4.584791748163595,873543
1876,366585,366593,0.8551265584213673,0.5577879283229628,1.5330675244126897,7.3216417864147045,873547
1876,366581,366585,0.9335115096048413,0.5577879283229628,1.6735957560277859,7.3216417864147045,873547
1876,366581,366593,0.9691989958021865,0.5577879283229628,1.7375761406600647,7.3216417864147045,873547
1884,367623,367638,0.9192440137630494,0.5399723377965102,1.7023909363843535,2.251517667285506,873551
1884,367623,367624,0.9193008676079067,0.5399723377965102,1.7024962266758699,2.251517667285506,873551
1884,367624,367638,1.028612062147014,0.5399723377965102,1.9049347348875654,2.251517667285506,873551
1885,367830,367849,0.858667834636436,0.49082442477245947,1.7494399041663513,2.624383018129402,873555
1885,367677,367694,0.886134775481474,0.49082442477245947,1.8054007314168927,2.624383018129402,873555
1885,367694,367830,1.0738441022526437,0.49082442477245947,2.1878375403800767,2.624383018129402,873555
1886,367836,367840,0.8707699957912164,0.5167491754492372,1.6850921823614144,4.884325221383415,873559
1886,367838,367840,0.8972235363935976,0.5167491754492372,1.736284408414574,4.884325221383415,873559
1886,367836,367838,0.9043828075678941,0.5167491754492372,1.7501388498233534,4.884325221383415,873559
1887,368781,368785,0.8731037416445151,0.5012381238857296,1.741894121851677,4.072928230755622,873563
1887,368783,368785,0.8941249104232696,0.5012381238857296,1.7838326093230465,4.072928230755622,873563
1887,368781,368783,0.9117165751124423,0.5012381238857296,1.8189290312647728,4.072928230755622,873563
1891,369199,369206,0.1730835090206213,0.423541110885264,0.4086581079670188,34.210415654415044,873567
1897,370844,370849,0.3908151683690845,0.5834919668623698,0.6697867161233213,9.403322822012653,873569
1898,371018,371024,0.8665028804453836,0.5358169101022825,1.6171622509636288,16.622284539332437,873571
1898,371021,371027,0.8752080736113547,0.5358169101022825,1.633408832588515,16.622284539332437,873571
1898,371021,371024,0.9343742747526772,0.5358169101022825,1.7438312549230925,16.622284539332437,873571
1900,390867,390918,0.8851913259745926,0.5435539309298036,1.6285252954759868,5.721983582626968,873575
1900,371516,390867,0.897428821724429,0.5435539309298036,1.6510391529857704,5.721983582626968,873575
1900,371516,390918,0.9922798893381015,0.5435539309298036,1.8255408210197412,5.721983582626968,873575
1902,371954,371961,0.05244021117655493,0.5062170989277394,0.10359233476631453,32.82139845693801,873579
1904,372645,372739,0.37202382149593394,0.49117551856445885,0.7574152363766719,8.065914440067223,873581
1905,373224,373226,0.8697222666334957,0.4863107338225016,1.7884085341841032,8.871635235355775,873583
1905,373221,373223,0.9226595159663734,0.4863107338225016,1.8972633170443953,8.871635235355775,873583
1905,373223,373224,1.1110058449126519,0.4863107338225016,2.2845595781526744,8.871635235355775,873583
1906,373299,373304,0.8698614848190042,0.48884237660035473,1.7794314209591235,6.990504345575533,873587
1906,373298,373299,0.9017775830213808,0.48884237660035473,1.8447205606289214,6.990504345575533,873587
1906,373298,373304,0.9064008053653996,0.48884237660035473,1.8541780515612154,6.990504345575533,873587
1907,373369,373460,0.9197410509116435,0.623330558423055,1.4755269711763666,14.826939179763079,873591
1907,373369,373373,1.0185865491873218,0.623330558423055,1.6341033427981022,14.826939179763079,873591
1907,373373,373460,1.0532078991169282,0.623330558423055,1.6896458626726194,14.826939179763079,873591
1908,373445,373448,0.9061735910758707,0.5367726822568202,1.6881887268665243,4.517461415312392,873595
1908,373440,373443,0.9244088481366207,0.5367726822568202,1.7221607557411707,4.517461415312392,873595
1908,373440,373448,1.0873263056806686,0.5367726822568202,2.0256737006605614,4.517461415312392,873595
1909,373958,373960,0.8695299606486251,0.504700190347254,1.7228643406105186,8.234359260330251,873599
1909,373960,373963,0.9033163310571151,0.504700190347254,1.7898077875413463,8.234359260330251,873599
1909,373958,373963,0.9297424051907237,0.504700190347254,1.842167732393807,8.234359260330251,873599
1914,375084,375086,0.9006627034543934,0.5209370322091847,1.728928157852153,11.818422556251459,873604
