[2026-08-27 18:22:49.819228] [0x000053e4] [info]    Slic3r::GUI::PartPlateList::load_from_3mf_structure: plate 1, load no_light_thumbnail_file from C:\Users\h4rds\AppData\Local\Temp/anycubicslicer_model/08_27_4/18_22_48#20648#3/Metadata/plate_no_light_1.png.
[2026-08-27 18:22:49.819228] [0x000053e4] [info]    read png file C:\Users\h4rds\AppData\Local\Temp/anycubicslicer_model/08_27_4/18_22_48#20648#3/Metadata/plate_no_light_1.png, size 3157
[2026-08-27 18:22:49.819228] [0x000053e4] [info]    png's cols 512, rows 512, color_type 6, bit_depth 8, bytes_per_pixel 4, rowbytes 2048
[2026-08-27 18:22:49.819729] [0x000053e4] [info]    filter_type 0, compression_type 0, interlace_type 0, rowbytes 2048
[2026-08-27 18:22:49.820728] [0x000053e4] [info]    Slic3r::GUI::PartPlateList::load_from_3mf_structure: plate 1, load top_thumbnail from C:\Users\h4rds\AppData\Local\Temp/anycubicslicer_model/08_27_4/18_22_48#20648#3/Metadata/top_1.png.
[2026-08-27 18:22:49.821048] [0x000053e4] [info]    read png file C:\Users\h4rds\AppData\Local\Temp/anycubicslicer_model/08_27_4/18_22_48#20648#3/Metadata/top_1.png, size 19865
[2026-08-27 18:22:49.821048] [0x000053e4] [info]    png's cols 512, rows 512, color_type 6, bit_depth 8, bytes_per_pixel 4, rowbytes 2048
[2026-08-27 18:22:49.821048] [0x000053e4] [info]    filter_type 0, compression_type 0, interlace_type 0, rowbytes 2048
[2026-08-27 18:22:49.822733] [0x000053e4] [info]    Slic3r::GUI::PartPlateList::load_from_3mf_structure: plate 1, load pick_thumbnail from C:\Users\h4rds\AppData\Local\Temp/anycubicslicer_model/08_27_4/18_22_48#20648#3/Metadata/pick_1.png.
[2026-08-27 18:22:49.822733] [0x000053e4] [info]    read png file C:\Users\h4rds\AppData\Local\Temp/anycubicslicer_model/08_27_4/18_22_48#20648#3/Metadata/pick_1.png, size 1667
[2026-08-27 18:22:49.822733] [0x000053e4] [info]    png's cols 512, rows 512, color_type 6, bit_depth 8, bytes_per_pixel 4, rowbytes 2048
[2026-08-27 18:22:49.823234] [0x000053e4] [info]    filter_type 0, compression_type 0, interlace_type 0, rowbytes 2048
[2026-08-27 18:22:49.824233] [0x000053e4] [info]    Slic3r::GUI::PartPlate::update_slice_result_valid_state: plate 0 , update slice result from 0 to 0
[2026-08-27 18:22:49.824233] [0x000053e4] [info]    Slic3r::GUI::PartPlate::update_slice_result_valid_state: plate 1 , update slice result from 0 to 0
[2026-08-27 18:22:49.824793] [0x000053e4] [info]    Slic3r::GUI::PartPlate::add_instance: plate 0 , m_ready_for_slice changes to 1
[2026-08-27 18:22:49.824877] [0x000053e4] [info]    PartPlate same shape, skip directly
